,mes,original,tc
ene,1/1/2000,96.0,100.4
feb,2/1/2000,100.3,100.2
mar,3/1/2000,103.7,100.0
abr,4/1/2000,91.3,99.8
may,5/1/2000,98.5,99.6
jun,6/1/2000,98.3,99.6
jul,7/1/2000,93.1,99.8
ago,8/1/2000,101.5,100.1
sep,9/1/2000,99.3,100.6
oct,10/1/2000,104.8,101.1
nov,11/1/2000,103.4,101.7
dic,12/1/2000,109.8,102.4
ene,1/1/2001,100.1,103.3
feb,2/1/2001,102.9,104.0
mar,3/1/2001,108.9,104.5
abr,4/1/2001,99.1,104.6
may,5/1/2001,104.2,104.4
jun,6/1/2001,104.6,104.1
jul,7/1/2001,99.8,103.8
ago,8/1/2001,102.9,103.7
sep,9/1/2001,101.8,104.0
oct,10/1/2001,109.3,104.8
nov,11/1/2001,108.0,105.4
dic,12/1/2001,113.6,106.1
ene,1/1/2002,102.3,106.7
feb,2/1/2002,104.4,107.1
mar,3/1/2002,106.1,107.6
abr,4/1/2002,106.0,108.3
may,5/1/2002,111.1,109.2
jun,6/1/2002,108.9,110.3
jul,7/1/2002,109.5,111.5
ago,8/1/2002,111.6,112.5
sep,9/1/2002,111.5,113.2
oct,10/1/2002,117.9,113.6
nov,11/1/2002,117.5,113.7
dic,12/1/2002,122.7,113.9
ene,1/1/2003,109.1,114.1
feb,2/1/2003,112.0,114.5
mar,3/1/2003,118.4,115.1
abr,4/1/2003,108.3,115.4
may,5/1/2003,116.4,116.3
jun,6/1/2003,116.6,117.2
jul,7/1/2003,114.9,118.1
ago,8/1/2003,115.6,119.0
sep,9/1/2003,118.2,119.7
oct,10/1/2003,126.6,120.1
nov,11/1/2003,122.4,120.5
dic,12/1/2003,132.5,120.9
ene,1/1/2004,115.0,122.2
feb,2/1/2004,120.5,123.3
mar,3/1/2004,132.3,124.7
abr,4/1/2004,118.2,126.1
may,5/1/2004,128.6,127.1
jun,6/1/2004,130.5,127.6
jul,7/1/2004,123.0,127.6
ago,8/1/2004,124.6,127.7
sep,9/1/2004,123.9,128.1
oct,10/1/2004,130.8,129.0
nov,11/1/2004,135.9,130.3
dic,12/1/2004,146.7,131.6
ene,1/1/2005,128.9,133.2
feb,2/1/2005,129.1,133.8
mar,3/1/2005,133.8,134.0
abr,4/1/2005,133.8,133.9
may,5/1/2005,133.5,134.4
jun,6/1/2005,136.1,135.2
jul,7/1/2005,132.3,136.3
ago,8/1/2005,136.1,137.5
sep,9/1/2005,138.0,138.7
oct,10/1/2005,142.1,139.7
nov,11/1/2005,141.1,140.6
dic,12/1/2005,153.1,141.2
ene,1/1/2006,139.3,141.8
feb,2/1/2006,138.7,142.5
mar,3/1/2006,149.6,143.4
abr,4/1/2006,134.5,144.7
may,5/1/2006,148.9,146.0
jun,6/1/2006,150.7,147.5
jul,7/1/2006,143.4,149.2
ago,8/1/2006,148.9,151.1
sep,9/1/2006,149.0,153.0
oct,10/1/2006,159.0,154.8
nov,11/1/2006,163.1,156.3
dic,12/1/2006,166.5,157.5
ene,1/1/2007,150.1,158.4
feb,2/1/2007,156.4,157.7
mar,3/1/2007,164.4,158.4
abr,4/1/2007,150.2,159.2
may,5/1/2007,161.6,160.1
jun,6/1/2007,160.9,161.0
jul,7/1/2007,157.7,161.8
ago,8/1/2007,163.9,162.7
sep,9/1/2007,158.5,164.0
oct,10/1/2007,167.3,164.7
nov,11/1/2007,165.8,165.4
dic,12/1/2007,178.2,166.2
ene,1/1/2008,162.6,167.1
feb,2/1/2008,169.7,168.2
mar,3/1/2008,172.2,169.3
abr,4/1/2008,170.5,170.4
may,5/1/2008,170.1,169.8
jun,6/1/2008,171.6,170.4
jul,7/1/2008,161.6,170.7
ago,8/1/2008,163.4,170.5
sep,9/1/2008,166.8,169.9
oct,10/1/2008,174.9,169.0
nov,11/1/2008,168.1,167.9
dic,12/1/2008,179.4,167.0
ene,1/1/2009,157.3,166.3
feb,2/1/2009,159.3,162.2
mar,3/1/2009,169.9,164.4
abr,4/1/2009,156.2,163.8
may,5/1/2009,164.2,163.3
jun,6/1/2009,163.0,163.0
jul,7/1/2009,155.4,162.8
ago,8/1/2009,159.9,161.8
sep,9/1/2009,157.8,162.3
oct,10/1/2009,166.3,163.4
nov,11/1/2009,164.0,164.5
dic,12/1/2009,176.2,165.6
ene,1/1/2010,165.3,168.2
feb,2/1/2010,166.9,169.3
mar,3/1/2010,179.9,170.3
abr,4/1/2010,165.5,170.8
may,5/1/2010,173.9,170.9
jun,6/1/2010,171.0,170.8
jul,7/1/2010,162.5,170.6
ago,8/1/2010,166.6,170.8
sep,9/1/2010,175.2,173.2
oct,10/1/2010,172.0,174.6
nov,11/1/2010,175.5,176.6
dic,12/1/2010,186.9,178.5
ene,1/1/2011,177.0,179.8
feb,2/1/2011,179.5,180.7
mar,3/1/2011,190.7,181.1
abr,4/1/2011,175.2,181.5
may,5/1/2011,184.3,181.9
jun,6/1/2011,182.3,182.6
jul,7/1/2011,175.8,183.5
ago,8/1/2011,185.7,184.3
sep,9/1/2011,182.0,184.7
oct,10/1/2011,185.8,184.9
nov,11/1/2011,188.2,185.1
dic,12/1/2011,198.7,185.6
ene,1/1/2012,181.5,186.7
feb,2/1/2012,189.3,188.0
mar,3/1/2012,202.5,189.5
abr,4/1/2012,183.8,190.9
may,5/1/2012,193.4,192.2
jun,6/1/2012,192.3,193.1
jul,7/1/2012,185.9,193.8
ago,8/1/2012,193.6,194.3
sep,9/1/2012,188.8,194.7
oct,10/1/2012,200.0,194.8
nov,11/1/2012,199.5,194.7
dic,12/1/2012,203.1,194.5
ene,1/1/2013,189.7,194.4
feb,2/1/2013,192.7,194.4
mar,3/1/2013,196.4,194.7
abr,4/1/2013,195.5,195.3
may,5/1/2013,199.0,196.1
jun,6/1/2013,194.4,196.9
jul,7/1/2013,190.4,197.7
ago,8/1/2013,196.7,198.3
sep,9/1/2013,191.3,198.7
oct,10/1/2013,201.8,199.1
nov,11/1/2013,201.5,199.2
dic,12/1/2013,213.6,199.4
ene,1/1/2014,194.2,199.5
feb,2/1/2014,197.6,201.0
mar,3/1/2014,205.4,201.2
abr,4/1/2014,197.3,201.5
may,5/1/2014,207.0,201.8
jun,6/1/2014,198.1,201.8
jul,7/1/2014,194.2,201.9
ago,8/1/2014,199.2,202.1
sep,9/1/2014,197.7,202.4
oct,10/1/2014,205.5,202.9
nov,11/1/2014,203.3,203.6
dic,12/1/2014,221.8,204.4
ene,1/1/2015,200.9,205.4
feb,2/1/2015,201.9,206.4
mar,3/1/2015,213.9,207.3
abr,4/1/2015,206.3,208.1
may,5/1/2015,206.7,208.8
jun,6/1/2015,206.3,209.5
jul,7/1/2015,202.4,210.2
ago,8/1/2015,208.3,210.9
sep,9/1/2015,205.4,211.5
oct,10/1/2015,214.1,212.2
nov,11/1/2015,214.9,212.6
dic,12/1/2015,231.5,212.8
ene,1/1/2016,207.8,213.0
feb,2/1/2016,210.0,213.2
mar,3/1/2016,220.1,213.5
abr,4/1/2016,211.6,214.0
may,5/1/2016,214.5,214.6
jun,6/1/2016,216.5,215.3
jul,7/1/2016,205.9,216.3
ago,8/1/2016,216.3,217.3
sep,9/1/2016,213.2,218.6
oct,10/1/2016,220.9,219.9
nov,11/1/2016,227.5,221.3
dic,12/1/2016,245.3,222.5
ene,1/1/2017,219.8,223.5
feb,2/1/2017,221.2,224.3
mar,3/1/2017,233.8,225.1
abr,4/1/2017,218.5,226.0
may,5/1/2017,226.1,227.0
jun,6/1/2017,227.3,228.2
jul,7/1/2017,217.4,229.3
ago,8/1/2017,230.2,230.3
